# DURATION     TID     FUNCTION
            [  9146] |       __gnu_cxx::operator!=() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.470 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.246 us [  9146] |       std::basic_ostream::operator<<();
   0.223 us [  9146] |       std::operator<<();
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.468 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.243 us [  9146] |       std::basic_ostream::operator<<();
   0.227 us [  9146] |       std::operator<<();
   0.068 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.470 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.065 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.243 us [  9146] |       std::basic_ostream::operator<<();
   0.221 us [  9146] |       std::operator<<();
   0.071 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.472 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.067 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.254 us [  9146] |       std::basic_ostream::operator<<();
   0.222 us [  9146] |       std::operator<<();
   0.070 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.070 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.071 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.470 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator*();
   0.244 us [  9146] |       std::basic_ostream::operator<<();
   0.228 us [  9146] |       std::operator<<();
   0.069 us [  9146] |       __gnu_cxx::__normal_iterator::operator++();
            [  9146] |       __gnu_cxx::operator!=() {
   0.067 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.069 us [  9146] |         __gnu_cxx::__normal_iterator::base();
   0.472 us [  9146] |       } /* __gnu_cxx::operator!= */
   0.217 us [  9146] |       std::operator<<();
  11.665 us [  9146] |       std::basic_ostream::operator<<();
   0.287 us [  9146] |       std::operator<<();
  11.817 us [  9146] |       std::basic_ostream::operator<<();
  84.379 us [  9146] |     } /* PRINT_ELEMENTS */
   0.893 us [  9146] |     std::__cxx11::basic_string::~basic_string();
   0.566 us [  9146] |     std::allocator::~allocator();
            [  9146] |     std::vector::~vector() {
   0.068 us [  9146] |       std::_Vector_base::_M_get_Tp_allocator();
            [  9146] |       std::_Destroy() {
            [  9146] |         std::_Destroy() {
   0.074 us [  9146] |           std::_Destroy_aux::__destroy();
   0.338 us [  9146] |         } /* std::_Destroy */
   0.532 us [  9146] |       } /* std::_Destroy */
            [  9146] |       std::_Vector_base::~_Vector_base() {
            [  9146] |         std::_Vector_base::_M_deallocate() {
            [  9146] |           std::allocator_traits::deallocate() {
            [  9146] |             __gnu_cxx::new_allocator::deallocate() {
   1.514 us [  9146] |               operator delete();
   1.934 us [  9146] |             } /* __gnu_cxx::new_allocator::deallocate */
   2.135 us [  9146] |           } /* std::allocator_traits::deallocate */
   2.344 us [  9146] |         } /* std::_Vector_base::_M_deallocate */
            [  9146] |         std::_Vector_base::_Vector_impl::~_Vector_impl() {
            [  9146] |           std::allocator::~allocator() {
   0.071 us [  9146] |             __gnu_cxx::new_allocator::~new_allocator();
   0.352 us [  9146] |           } /* std::allocator::~allocator */
   0.563 us [  9146] |         } /* std::_Vector_base::_Vector_impl::~_Vector_impl */
   7.288 us [  9146] |       } /* std::_Vector_base::~_Vector_base */
   8.409 us [  9146] |     } /* std::vector::~vector */
 107.786 us [  9146] |   } /* partition_02 */
            [  9146] |   std::vector::~vector() {
   0.069 us [  9146] |     std::_Vector_base::_M_get_Tp_allocator();
            [  9146] |     std::_Destroy() {
            [  9146] |       std::_Destroy() {
   0.068 us [  9146] |         std::_Destroy_aux::__destroy();
   0.313 us [  9146] |       } /* std::_Destroy */
   0.484 us [  9146] |     } /* std::_Destroy */
            [  9146] |     std::_Vector_base::~_Vector_base() {
            [  9146] |       std::_Vector_base::_M_deallocate() {
            [  9146] |         std::allocator_traits::deallocate() {
            [  9146] |           __gnu_cxx::new_allocator::deallocate() {
   0.189 us [  9146] |             operator delete();
   0.577 us [  9146] |           } /* __gnu_cxx::new_allocator::deallocate */
   0.774 us [  9146] |         } /* std::allocator_traits::deallocate */
   0.945 us [  9146] |       } /* std::_Vector_base::_M_deallocate */
            [  9146] |       std::_Vector_base::_Vector_impl::~_Vector_impl() {
            [  9146] |         std::allocator::~allocator() {
   0.068 us [  9146] |           __gnu_cxx::new_allocator::~new_allocator();
   0.311 us [  9146] |         } /* std::allocator::~allocator */
   0.493 us [  9146] |       } /* std::_Vector_base::_Vector_impl::~_Vector_impl */
   1.704 us [  9146] |     } /* std::_Vector_base::~_Vector_base */
   2.677 us [  9146] |   } /* std::vector::~vector */
 122.042 us [  9146] | } /* main */
